City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Ambovombe,MG,67.39,few clouds,-25.1667,46.0833,RELAHARA
429,Kapit,MY,73.17,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
430,Puerto Escondido,MX,83.77,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
432,Salas,ES,67.77,clear sky,43.4118,-6.2602,Hotel Castillo Valdes Salas
434,That Phanom,TH,76.8,few clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
435,Sokoni,TZ,75.29,scattered clouds,-6.4333,39.55,Ujamaa Beach Resort
436,Tepla,CZ,64.31,scattered clouds,49.98,12.8643,Penzion Plzenka
437,Luang Prabang,LA,72.5,broken clouds,19.8856,102.1347,The Apsara
439,Halkirk,CA,70.9,few clouds,52.2834,-112.1518,"Halkirk Hotel, Bar & Restaurant"
441,Awjilah,LY,84.27,clear sky,29.1081,21.2869,المنزل
442,Shelburne,CA,84.6,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
443,Kailua,US,81.64,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
444,Kahului,US,82.98,clear sky,20.8947,-156.47,Maui Seaside Hotel
447,Bocas Del Toro,PA,82.29,broken clouds,9.3333,-82.25,Hotel Bocas del Toro
450,Tabuk,PH,75.2,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
451,Aldan,RU,65.43,broken clouds,58.6031,125.3894,Aldan Guest House
453,Quatre Cocos,MU,69.76,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
455,Kalach-Na-Donu,RU,61.99,overcast clouds,48.691,43.5264,Hotel Laguna
457,Planadas,CO,75.13,light rain,3.197,-75.6451,Coffee Hotel Planadas
458,Swan River,CA,60.73,overcast clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
459,Kabompo,ZM,62.73,few clouds,-13.5927,24.2008,Big Tree
460,Santa Rosa,PH,78.69,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
462,Honiara,SB,76.21,scattered clouds,-9.4333,159.95,Heritage Park Hotel
463,Skelleftea,SE,61.0,overcast clouds,64.7507,20.9528,Quality Hotel Skellefteå Stadshotell
467,Algiers,DZ,80.64,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
468,Morondava,MG,71.89,clear sky,-20.2833,44.2833,La Case Bambou
469,Changping,CN,74.84,clear sky,40.2186,116.2197,Huachang Hotel
471,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
472,Hirara,JP,84.81,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
474,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
478,Tartagal,AR,84.63,broken clouds,-22.5164,-63.8013,Almuñecar Hotel
479,High Level,CA,76.23,overcast clouds,58.5169,-117.136,Days Inn by Wyndham High Level
480,Waingapu,ID,69.87,few clouds,-9.6567,120.2641,Pondok Wisata Elim
482,Marshfield,US,83.28,scattered clouds,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
487,Fort Nelson,CA,67.62,light rain,58.8053,-122.7002,The Fort Nelson Hotel
489,Negombo,LK,80.65,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
491,Eyl,SO,77.0,overcast clouds,7.9803,49.8164,Amiin Hotel
493,Namie,JP,74.71,overcast clouds,37.4833,141.0,いこいの村なみえ
495,Rocha,UY,65.44,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
496,Povenets,RU,63.0,moderate rain,62.8487,34.8262,Eko Otel' Bol'shaya Medveditsa
497,Kismayo,SO,75.67,scattered clouds,-0.3582,42.5454,Agan-Hotel
500,Makokou,GA,70.79,light rain,0.5738,12.8642,Hôtel
501,Okhtyrka,UA,63.73,clear sky,50.3104,34.8988,У нас як вдома
502,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
507,Xuddur,SO,75.02,broken clouds,4.1213,43.8894,Banjanay Hotel
509,Madinat Sittah Uktubar,EG,83.26,clear sky,29.8167,31.05,Happy Kennel Academy
510,Kavaratti,IN,81.1,broken clouds,10.5669,72.642,Green leaf
511,Dumai,ID,73.94,moderate rain,1.6833,101.45,Grand Zuri Dumai
515,Tarakan,ID,80.29,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
517,Whitecourt,CA,75.69,clear sky,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
519,Totness,SR,80.82,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
524,Yelandur,IN,69.94,scattered clouds,12.0667,77.0333,Nisarga Home Stay
525,New Ulm,US,79.12,clear sky,44.3125,-94.4605,Best Western Plus New Ulm
526,Margate,GB,68.88,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
527,Owando,CG,73.74,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
531,Piacabucu,BR,75.56,broken clouds,-10.4056,-36.4344,Piaçabuçu News
532,Weligama,LK,78.44,broken clouds,5.9667,80.4167,Weligama Bay Resort
537,Mahanoro,MG,66.45,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
538,Gemena,CD,69.82,scattered clouds,3.25,19.7667,Hôtel Goshen
539,Khasan,RU,65.5,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
540,Mindelo,CV,80.15,broken clouds,16.8901,-24.9804,Hotel Gaudi
542,Balkanabat,TM,84.9,clear sky,39.5108,54.3671,Nebitchi Hotel
544,Jejuri,IN,70.39,overcast clouds,18.2833,74.1667,Hotel Malhargad
546,Keskin,TR,64.83,clear sky,39.6731,33.6136,Keskin İlçe Müftülüğü İrşat Evi
547,Acarau,BR,81.82,scattered clouds,-2.8856,-40.12,castelo pizzaria
548,Wasilla,US,63.01,light rain,61.5814,-149.4394,Alaska's Select Inn Wasilla
549,Lethem,GY,81.46,moderate rain,3.3803,-59.7968,Savannah Inn
550,Calama,CL,70.29,clear sky,-22.4667,-68.9333,Park Hotel Calama
551,Ewa Beach,US,82.35,scattered clouds,21.3156,-158.0072,Base Lodging
552,Oliveira Dos Brejinhos,BR,82.94,overcast clouds,-12.3169,-42.8961,Hotel Paraiso
553,Kamen-Rybolov,RU,62.76,moderate rain,44.7481,132.0403,"The recreation center ""Olimp"""
558,Jiuquan,CN,72.64,clear sky,39.7432,98.5174,Jiuquan Hotel
560,Carhuaz,PE,67.39,light rain,-9.2819,-77.6447,Montaña Jazz
563,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
566,Alexandria,EG,78.1,clear sky,31.2156,29.9553,Royal Crown Hotel
568,Port-Gentil,GA,73.6,overcast clouds,-0.7193,8.7815,Fengshui Residence
569,Pemba,MZ,74.86,clear sky,-12.974,40.5178,Guesthouse Samotina
570,San Ignacio,BZ,79.66,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
571,My Tho,VN,75.9,overcast clouds,10.35,106.35,Sông Tiền Annex Hotel
572,Bassano,CA,70.65,few clouds,50.7834,-112.4685,Imperial Hunter Hotel
573,Bismarck,US,82.24,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
574,Artigas,UY,74.01,overcast clouds,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
575,Beipiao,CN,63.07,clear sky,41.7919,120.7792,Beipiao Hotel
576,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
577,Alofi,NU,71.49,broken clouds,-19.0595,-169.9187,Taloa Heights
578,Santa Maria,BR,71.71,overcast clouds,-29.6842,-53.8069,Hotel Morotin
579,Qui Nhon,VN,76.6,clear sky,13.7667,109.2333,Seagull Hotel
581,Mattru,SL,74.7,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
582,Eskil,TR,70.54,clear sky,38.4017,33.4131,Eskil Öğretmen Evi
583,Asau,RO,72.52,few clouds,46.4333,26.4,Casa Mika Ciobanus
585,Hole Narsipur,IN,68.07,overcast clouds,12.7828,76.2431,Vibhavi upahar and Cafe
586,Inirida,CO,79.72,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
587,Medeiros Neto,BR,77.79,clear sky,-17.3739,-40.2206,Pousada & Restaurante Visgueira
588,Chicama,PE,61.34,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
589,Askino,RU,65.21,overcast clouds,56.0901,56.5783,Uyut
590,Ankang,CN,69.69,clear sky,32.68,109.0172,安琪酒店
591,Huejuquilla El Alto,MX,79.59,scattered clouds,22.6,-103.8667,Hotel Huexuquillan
593,Northam,GB,65.39,overcast clouds,51.0333,-4.2167,Durrant House Hotel
596,Jaisalmer,IN,83.77,overcast clouds,26.9147,70.9181,Hotel Fifu
